County_Caps,County,FIPS Code,Region
ADA,Ada,1,4
ADAMS,Adams,3,3
BANNOCK,Bannock,5,6
BEAR LAKE,Bear Lake,7,6
BENEWAH,Benewah,9,1
BINGHAM,Bingham,11,6
BLAINE,Blaine,13,5
BOISE,Boise,15,4
BONNER,Bonner,17,1
BONNEVILLE,Bonneville,19,7
BOUNDARY,Boundary,21,1
BUTTE,Butte,23,7
CAMAS,Camas,25,5
CANYON,Canyon,27,3
CARIBOU,Caribou,29,6
CASSIA,Cassia,31,5
CLARK,Clark,33,7
CLEARWATER,Clearwater,35,2
CUSTER,Custer,37,7
ELMORE,Elmore,39,4
FRANKLIN,Franklin,41,6
FREMONT,Fremont,43,7
GEM,Gem,45,3
GOODING,Gooding,47,5
IDAHO,Idaho,49,2
JEFFERSON,Jefferson,51,7
JEROME,Jerome,53,5
KOOTENAI,Kootenai,55,1
LATAH,Latah,57,2
LEMHI,Lemhi,59,7
LEWIS,Lewis,61,2
LINCOLN,Lincoln,63,5
MADISON,Madison,65,7
MINIDOKA,Minidoka,67,5
NEZ PERCE,Nez Perce,69,2
ONEIDA,Oneida,71,6
OWYHEE,Owyhee,73,3
PAYETTE,Payette,75,3
POWER,Power,77,6
SHOSHONE,Shoshone,79,1
TETON,Teton,81,7
TWIN FALLS,Twin Falls,83,5
VALLEY,Valley,85,4
WASHINGTON,Washington,87,3
